current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,all_blanks_list
images/15_0 copy 4.jpg,0,63,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/18_0 copy 7.jpg,0,64,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/11_12 copy 2.jpg,0,65,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/9_0 copy 5.jpg,0,66,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/11_0 copy 4.jpg,0,67,0,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,68,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,69,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,70,1,0,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/blank.jpg,0,71,1,1,0,"[9, 19, 29, 39, 49, 59, 68, 69, 70, 71]"
images/16_0 copy 7.jpg,0,0,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/pair18 copy 7.jpg,0,1,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/22_28 copy 7.jpg,0,2,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/22_40 copy 5.jpg,0,3,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/pair03.jpg,0,4,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/blank.jpg,0,5,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/14_12 copy 3.jpg,0,6,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/8_0 copy 7.jpg,0,7,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/10_28 copy 3.jpg,0,8,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/blank.jpg,0,9,1,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/7_28 copy 4.jpg,0,10,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/24_12 copy 7.jpg,0,11,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/23_40 copy 3.jpg,0,12,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/17_28 copy 4.jpg,0,13,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/15_0 copy 4.jpg,0,14,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/7_12 copy.jpg,0,15,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/6_12 copy 4.jpg,0,16,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/24_0.jpg,0,17,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/21_12 copy 3.jpg,0,18,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/blank.jpg,0,19,1,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/pair14 copy 7.jpg,0,20,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/14_28 copy 5.jpg,0,21,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/20_40 copy 6.jpg,0,22,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
images/5_12 copy 6.jpg,0,23,0,0,1,"[9, 19, 31, 42, 56, 68, 69, 70, 71]"
