current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,block.started,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,press_if_repeat.rt,press_if_repeat.duration,key_resp_3.stopped,polygon_2.stopped,text_2.started,text_2.stopped,key_resp_3.rt,key_resp_3.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/8_12 copy 7.jpg,0,22,0,0,0,0,22,22,22,97.67212412899971,,,,,,,,,,,,,,,,,,97.65757704999851,101.65567018000002,None,101.65578925599766,,,101.6558117679997,None,101.6558829630012,101.65590601299846,97.67212412899971,98.65597339099986,98.65597339099986,101.64484764499866,101.64484764499866,101.66197745399768,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/16_28.jpg,0,23,0,0,0,0,23,23,23,101.66197745399768,,,,,,,,,,,,,,,,,,101.65608373699797,105.64505715199994,None,105.64515608799775,,,105.64517589800016,None,105.64523947799898,105.64526067599945,101.66197745399768,102.64485701200101,102.64485701200101,105.63295174299856,105.63295174299856,105.65099989699956,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/12_0 copy 6.jpg,0,24,0,0,0,0,24,24,24,105.65099989699956,,,,,,,,,,,,,,,,,,105.64541041600023,109.63402940000014,None,109.6341994659997,,,109.63423500399949,None,109.63432807600111,109.63436419899881,105.65099989699956,106.63589347599918,106.63589347599918,109.62416677700094,109.62416677700094,109.64001954699779,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/17_40 copy 2.jpg,0,25,0,0,0,0,25,25,25,109.64001954699779,,,,,,,,,,,,,,,,,,109.63450642200041,113.62489835299857,None,113.62500990899935,,,113.62503192000077,None,113.62510313799794,113.6251261360012,109.64001954699779,110.62232519999816,110.62232519999816,113.60857699500048,113.60857699500048,113.6314376199989,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/8_40 copy 4.jpg,0,26,0,0,0,0,26,26,26,113.6314376199989,,,,,,,,,,,,,,,,,,113.62529445999826,117.61437469199882,None,117.6144955009986,,,117.61451737300013,None,117.61458858900005,117.61461139599851,113.6314376199989,114.61257769800068,114.61257769800068,117.60170828300033,117.60170828300033,117.62180093400093,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair17.jpg,0,27,0,0,0,0,27,27,27,117.62180093400093,,,,,,,,,,,,,,,,,,117.61477530900083,121.6076476599992,None,121.60782159500013,,,121.60785403000045,None,121.60795580400008,121.60798780500045,117.62180093400093,118.60189889699905,118.60189889699905,121.59115429799931,121.59115429799931,121.6186059419997,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair16 copy 5.jpg,0,28,0,0,0,0,28,28,28,121.6186059419997,,,,,,,,,,,,,,,,,,121.60824418599805,125.60285866999766,None,125.60296982499858,,,125.60299229799784,None,125.60306273899914,125.6030856010002,121.6186059419997,122.59822924499895,122.59822924499895,125.58393401599824,125.58393401599824,125.60916372900101,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/13_28.jpg,0,29,0,0,0,0,29,29,29,125.60916372900101,,,,,,,,,,,,,,,,,,125.60325051899781,129.59530403600002,None,129.59545338799944,,,129.59548481899765,None,129.59558562500024,129.59561885600124,125.60916372900101,126.59032241399836,126.59032241399836,129.5801653439994,129.5801653439994,129.60263438699985,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,30,1,0,0,0,30,30,30,129.60263438699985,,,,,,,,,,,,,,,,,,129.59585292799966,129.59881203400073,None,129.59893094799918,129.60263438699985,129.60263438699985,133.58201544099938,minus,133.5827167940006,133.58274485400034,,,,,,,,,,,,,3.9493719740021334,None,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/18_28 copy 3.jpg,0,31,0,0,0,0,31,31,31,133.59037785100008,,,,,,,,,,,,,,,,,,133.58292125200023,137.5731172070009,None,137.57323997099957,,,137.57326977199773,None,137.57335204599804,137.57337829400058,133.59037785100008,134.5705433869989,134.5705433869989,137.557370980001,137.557370980001,137.5799705520003,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/11_28 copy 7.jpg,0,32,0,0,0,0,32,32,32,137.5799705520003,,,,,,,,,,,,,,,,,,137.57356283599802,141.56436141099766,None,141.5644573999998,,,141.564476380001,None,141.5645362719988,141.5645555049996,137.5799705520003,138.56205447899993,138.56205447899993,141.54921270200066,141.54921270200066,141.57067967799958,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/5_12 copy 5.jpg,0,33,0,0,0,0,33,33,33,141.57067967799958,,,,,,,,,,,,,,,,,,141.56469501500032,145.55580351299795,None,145.55594995499996,,,145.55597439199846,None,145.5560508419985,145.55607544799932,141.57067967799958,142.55245174499942,142.55245174499942,145.55563664500005,145.55563664500005,145.57209477599827,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair08 copy 6.jpg,0,34,0,0,0,0,34,34,34,145.57209477599827,,,,,,,,,,,,,,,,,,145.55624964899835,149.55573135099985,None,149.55585561100088,,,149.55588143299974,None,149.55596229299772,149.55598806499984,145.57209477599827,146.55741880200003,146.55741880200003,149.54603221199795,149.54603221199795,149.56400132699855,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair16 copy.jpg,0,35,0,0,0,0,35,35,35,149.56400132699855,,,,,,,,,,,,,,,,,,149.55617797299783,153.55742055999872,None,153.5575270269983,,,153.55754650100062,None,153.55760596599794,153.55762532899826,149.56400132699855,150.54886168599842,150.54886168599842,153.5572855749997,153.5572855749997,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/9_0 copy 6.jpg,0,36,0,0,0,0,36,36,36,153.5717980929985,,,,,,,,,,,,,,,,,,153.55776173900085,157.55549567100024,None,157.55561914200007,,,157.55564217600113,None,157.5557138639997,157.55573800599814,153.5717980929985,154.57221312299953,154.57221312299953,157.57214217900037,157.57214217900037,157.57214217900037,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair08 copy 4.jpg,0,37,0,0,0,0,37,37,37,157.57214217900037,,,,,,,,,,,,,,,,,,157.55590933200074,161.55557150299865,None,161.5557028000003,,,161.5557257699984,None,161.55579949499952,161.55582322099872,157.57214217900037,158.55614704899926,158.55614704899926,161.57349613000042,161.57349613000042,161.57349613000042,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair18 copy 5.jpg,0,38,0,0,0,0,38,38,38,161.57349613000042,,,,,,,,,,,,,,,,,,161.55601102699802,165.55593002000023,None,165.55613079899922,,,165.55617510400043,None,165.5563058810003,165.5563479779994,161.57349613000042,162.57164469800045,162.57164469800045,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/6_28 copy.jpg,0,39,0,0,0,0,39,39,39,165.57338043300115,,,,,,,,,,,,,,,,,,165.5566691319982,169.55665099799808,None,169.55685794099918,,,169.55689422499927,None,169.55699325299793,169.55702564599778,165.57338043300115,166.5723842010011,166.5723842010011,,,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/blank.jpg,0,40,1,0,0,0,40,40,40,169.5719679670001,,,,,,,,,,,,,,,,,,169.55725356900075,169.5597064299982,None,169.55981121700097,169.5719679670001,169.5719679670001,173.56162908199985,backspace,173.5620519849981,178.57380557500073,,,,,,,,,,,173.57481389099848,,2.941578991001734,None,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/pair03 copy.jpg,0,41,0,0,0,0,41,41,41,178.5882327299987,,,,,,,,,,,,,,,,,,178.57415317100094,182.57275529300023,None,182.5729714179979,,,182.5730158890001,None,182.57314365799903,182.57318492299964,178.5882327299987,179.57222766699851,179.57222766699851,182.57260670300093,182.57260670300093,,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
images/13_12 copy 7.jpg,0,42,0,0,0,0,42,42,42,182.588676217998,,,,,,,,,,,,,,,,,,182.573493134998,186.57293550800023,None,186.57313938299922,,,186.57317949099888,None,186.57330352899953,186.57334359699962,182.588676217998,183.5715263969978,183.5715263969978,186.5726808420004,186.5726808420004,186.58964191599807,,,,,,,,,1,001,2024-03-13_14h31.19.567,replicate_nsd,2023.2.3,60.43707853494269,2024-03-13 14h31.26.945452 -0400,
,,,,,,,,,,186.58964191599807,,,,,,,,,,,,,,,,,,186.5736281999998,,,,,,,,,,186.58964191599807,,,,,,,,,,,,,,,,,,,,,
