current_image,is_repeat,trial_index,is_blank_trial,is_new_run,run_num,loop_all_images.thisRepN,loop_all_images.thisTrialN,loop_all_images.thisN,loop_all_images.thisIndex,thisRow.t,notes,waiting_fmri.started,key_resp_2.started,text_3.started,waiting_fmri.stopped,key_resp_2.keys,key_resp_2.rt,key_resp_2.duration,set_up.started,set_up.stopped,instructions.started,text.started,key_resp.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,trial.started,trial.stopped,press_if_repeat.keys,blank_trial.started,key_resp_3.started,polygon_2.started,blank_trial.stopped,key_resp_3.keys,key_resp_3.rt,key_resp_3.duration,block.started,text_2.started,text_2.stopped,block.stopped,polygon.started,image.started,press_if_repeat.started,image.stopped,press_if_repeat.stopped,polygon.stopped,key_resp_3.stopped,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
images/5_40 copy 5.jpg,0,17,0,0,0,0,17,17,17,435.0889649540004,,,,,,,,,,,,,,,,,,435.0794794430003,439.0752553019993,None,439.0754338879997,,,439.07546950100004,None,,,439.0755747600015,439.0798835220012,444.0694267760009,444.06275766100225,435.0889649540004,436.0812119850016,436.0812119850016,439.0683907780003,439.0683907780003,439.0798835220012,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/13_28 copy 5.jpg,0,18,0,0,0,0,18,18,18,444.0694267760009,,,,,,,,,,,,,,,,,,444.0630681370021,448.05406239700096,None,448.0542326040013,,,448.0542678749989,None,,,448.0543707270008,448.05904988399925,453.05188069200085,453.0435984520009,444.0694267760009,445.0641766410008,445.0641766410008,448.0538307860006,448.0538307860006,448.05904988399925,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/6_12 copy 2.jpg,0,19,0,0,0,0,19,19,19,453.05188069200085,,,,,,,,,,,,,,,,,,453.0438492050016,457.03770977599925,None,457.0378822519997,,,457.0379187380022,None,,,457.0380228819995,457.04283197100085,462.03405833299985,462.027170338999,453.05188069200085,454.04370532699977,454.04370532699977,457.03055645800123,457.03055645800123,457.04283197100085,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/blank.jpg,0,20,1,0,0,0,20,20,20,462.03405833299985,,,,,,,,,,,,,,,,,,462.02748454800167,462.0296490770015,None,462.0297785160001,462.03405833299985,462.03405833299985,466.0129766450009,s,3.6117022580001503,None,466.0133147410015,466.0179620919989,471.01283955100007,471.00427863200093,,,,,,,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/14_28 copy 6.jpg,0,21,0,0,0,0,21,21,21,471.01283955100007,,,,,,,,,,,,,,,,,,471.0045946850005,474.99912566200146,None,474.999296345999,,,474.99933594899994,None,,,474.9994372709989,475.0041770880016,479.997542598001,479.9901563300009,471.01283955100007,472.00075219800055,472.00075219800055,474.990848256999,474.990848256999,475.0041770880016,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/8_0 copy 6.jpg,0,22,0,0,0,0,22,22,22,479.997542598001,,,,,,,,,,,,,,,,,,479.99044753899943,483.98208016900026,None,483.98225177100176,,,483.9822879839994,None,,,483.9823901669988,483.9870505100007,488.9800663720016,488.97087720499985,479.997542598001,480.9910248349988,480.9910248349988,483.9778593330011,483.9778593330011,483.9870505100007,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/24_28 copy 6.jpg,0,23,0,0,0,0,23,23,23,488.9800663720016,,,,,,,,,,,,,,,,,,488.9711598729991,492.9658147070004,None,492.965965708001,,,492.96599905900075,None,,,492.96609930400155,492.9705360459993,497.9626463269997,497.95369154700165,488.9800663720016,489.9730306800011,489.9730306800011,492.9614367940012,492.9614367940012,492.9705360459993,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair18 copy 4.jpg,0,24,0,0,0,0,24,24,24,497.9626463269997,,,,,,,,,,,,,,,,,,497.95393285200043,501.94703179299904,None,501.9472033400016,,,501.9472391189993,None,,,501.9473411530016,501.9519626660003,506.94582542100034,506.936959603001,497.9626463269997,498.9536240689995,498.9536240689995,501.942912161001,501.942912161001,501.9519626660003,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair15 copy 2.jpg,0,25,0,0,0,0,25,25,25,506.94582542100034,,,,,,,,,,,,,,,,,,506.9372462399988,510.9346556470009,None,510.9348260200022,,,510.93486080300136,None,,,510.9349592660001,510.95206382000106,,515.9366437140015,506.94582542100034,507.9360678260018,507.9360678260018,510.93441465700016,510.93441465700016,510.95206382000106,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/pair08 copy.jpg,0,26,0,0,0,0,26,26,26,515.9461515820003,,,,,,,,,,,,,,,,,,515.9369782479989,519.9321179380022,None,519.9322473770007,,,519.9322762400006,None,,,519.9323594580019,519.9359821850012,524.92737261,524.9195717580005,515.9461515820003,516.9237819570008,516.9237819570008,519.9123202029987,519.9123202029987,519.9359821850012,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
images/16_40 copy 2.jpg,0,27,0,0,0,0,27,27,27,524.92737261,,,,,,,,,,,,,,,,,,524.9198885219994,528.9123423359997,None,528.9124631359991,,,528.9124917150002,None,,,528.9125737079994,528.9163080770013,533.9072956330019,533.9012195120013,524.92737261,525.9206011650022,525.9206011650022,528.9089837700012,528.9089837700012,528.9163080770013,,,1,001,2024-03-13_15h54.44.364,replicate_nsd,2023.2.3,59.944038284407284,2024-03-13 15h54.55.682454 -0400,
